ticker,date,open,high,low,close,daily_return,price_range,price_range_pct,ma_7,ma_30,volatility_7d
GOOGL,2026-01-28,336.06,337.535,331.94,336.01,0.004364071140337655,5.595000000000027,1.6648812712015792,330.3754285714286,320.47226666666666,0.014903990791180136
GOOGL,2026-01-29,340.3,342.29,326.54,338.25,0.0066664682598731595,15.75,4.6282691742580075,332.6982857142857,321.4732666666667,0.008996661197184954
GOOGL,2026-01-30,340.0,340.0,332.285,338.233,-5.025868440500236e-05,7.714999999999975,2.2691176470588164,334.10585714285713,322.53503333333333,0.0072762129808738646
GOOGL,2026-02-02,336.22,344.83,335.63,343.79,0.016429502739236046,9.199999999999989,2.736303610731065,336.00300000000004,324.1033666666666,0.008629190524585674
GOOGL,2026-02-03,347.34,349.0,337.4745,339.74,-0.011780447366124713,11.525500000000022,3.3182184602982736,337.68942857142855,325.34836666666666,0.009728534897731001
GOOGL,2026-02-04,342.96,343.31,328.52,333.04,-0.019720963089421284,14.79000000000002,4.31245626312107,337.659,326.2110333333333,0.012084803211906362
GOOGL,2026-02-05,312.22,332.69,306.5,331.23,-0.005434782608695676,26.189999999999998,8.388315931074242,337.1847142857143,326.9260333333333,0.012094665142738433
GOOGL,2026-02-06,327.18,330.3,319.935,322.86,-0.02526945023095739,10.365000000000009,3.1679809279295825,335.30614285714285,327.20970000000005,0.014669007755640956
GOOGL,2026-02-09,320.93,327.7,317.26,324.32,0.0045220838753639025,10.439999999999998,3.25304583554046,333.3161428571429,327.5507,0.014390023784444757
GOOGL,2026-02-10,320.97,321.67,314.61,318.57,-0.017729403058707405,7.060000000000002,2.199582515499891,330.50714285714287,327.71936666666664,0.014739289366181855
GOOGL,2026-02-11,318.97,321.06,309.66,310.71,-0.02467275638007349,11.399999999999977,3.5740038248111032,325.7814285714286,327.6243666666667,0.01086494053205894
GOOGL,2026-02-12,312.09,316.24,307.2,309.0,-0.005503524186540432,9.04000000000002,2.896600339645622,321.39,327.46270000000004,0.011355301905270898
GOOGL,2026-02-13,307.725,308.63,303.71,305.72,-0.010614886731391548,4.920000000000016,1.5988301242992984,317.4871428571429,327.22003333333333,0.011027515963341127
META,2023-01-03,122.82,126.37,122.28,124.74,,4.090000000000003,3.3300765347663277,124.74,124.74,
META,2023-01-04,127.38,129.05,125.85,127.37,0.021083854417187853,3.200000000000017,2.5121683152771372,126.055,126.055,
META,2023-01-05,126.125,128.52,124.54,126.94,-0.0033759912067206077,3.980000000000004,3.155599603567892,126.35000000000001,126.35000000000001,0.01729572270744177
META,2023-01-06,128.97,130.33,126.04,130.02,0.024263431542461023,4.290000000000006,3.3263549662712304,127.2675,127.2675,0.015123554743891912
META,2023-01-09,131.16,132.95,129.28,129.47,-0.004230118443316555,3.6699999999999875,2.7981091796279256,127.708,127.708,0.01534530491350049
META,2023-01-10,127.27,133.44,127.15,132.99,0.0271877655055226,6.289999999999992,4.942248762473476,128.58833333333334,128.58833333333334,0.01548027246295968
META,2023-01-11,130.96,133.849,130.34,132.89,-0.0007519362358073822,3.508999999999986,2.67944410507024,129.20285714285714,129.20285714285714,0.01493871640896712
META,2023-01-12,133.44,137.678,131.76,136.71,0.028745579050342585,5.918000000000006,4.4349520383693095,130.91285714285715,130.14125,0.015248318565487523
META,2023-01-13,134.97,137.39,134.835,136.98,0.0019749835418036987,2.5549999999999784,1.8930132622064004,132.28571428571428,130.9011111111111,0.015327546861722002
META,2023-01-17,136.176,136.75,134.25,135.36,-0.011826544021024787,2.5,1.8358594759722715,133.48857142857145,131.347,0.016862628033073396
META,2023-01-18,135.81,137.25,132.8,133.02,-0.017287234042553168,4.449999999999989,3.2766364774316976,133.91714285714286,131.4990909090909,0.018007190192924835
META,2023-01-19,132.49,137.45,132.14,136.15,0.02353029619606062,5.310000000000002,4.007849649030117,134.87142857142857,131.88666666666668,0.01907167570234636
META,2023-01-20,135.89,139.94,134.61,139.37,0.023650385604113033,5.329999999999984,3.9222900875708175,135.78285714285715,132.4623076923077,0.018497185183713533
META,2023-01-23,139.29,143.76,138.66,143.27,0.02798306665709993,5.099999999999994,3.6614258022830026,137.2657142857143,133.2342857142857,0.01967669022489656
META,2023-01-24,141.69,145.0,141.36,143.14,-0.0009073776785092358,3.6399999999999864,2.5689886371656336,138.18428571428572,133.89466666666667,0.018359170332467548
META,2023-01-25,141.22,143.17,140.31,141.5,-0.011457314517255734,2.859999999999985,2.025208893924363,138.82999999999998,134.37,0.019599221424778667
META,2023-01-26,144.4,147.51,143.3,147.3,0.04098939929328638,4.2099999999999795,2.915512465373947,140.53571428571428,135.13058823529414,0.022129231260710234
META,2023-01-27,148.237,153.19,147.39,151.74,0.030142566191446063,5.800000000000011,3.9126533861316752,143.21,136.05333333333334,0.01850388915841073
META,2023-01-30,149.405,151.123,146.95,147.06,-0.03084223013048637,4.173000000000002,2.7930792142163927,144.76857142857145,136.63263157894735,0.026173181031272884
META,2023-01-31,147.95,149.88,147.52,148.97,0.012987896096831264,2.359999999999985,1.5951334910442618,146.14000000000001,137.2495,0.025643988679135823
META,2023-02-01,148.03,153.58,147.06,153.12,0.02785795797811641,6.52000000000001,4.404512598797548,147.5471428571429,138.0052380952381,0.02562927756278572
META,2023-02-02,183.38,197.16,180.16,188.77,0.23282392894461856,17.0,9.270367542807286,154.06571428571428,140.31272727272727,0.08732166552265408
META,2023-02-03,183.465,196.77,182.89,186.53,-0.011866292313397309,13.880000000000024,7.56547570381273,160.49857142857144,142.32217391304349,0.0873644685448258
META,2023-02-06,186.53,190.7,185.516,186.06,-0.002519701924623363,5.1839999999999975,2.779177612180345,166.03571428571428,144.14458333333334,0.08907530377741259
META,2023-02-07,185.575,193.78,184.4,191.62,0.029882833494571548,9.379999999999995,5.0545601508823905,171.73285714285717,146.0436,0.08907866151117903
META,2023-02-08,190.0,190.83,182.92,183.43,-0.04274084124830391,7.910000000000025,4.163157894736855,176.92857142857142,147.48153846153846,0.09068586725336042
META,2023-02-09,186.13,186.65,177.27,177.92,-0.03003870686365384,9.379999999999995,5.039488529522375,181.06428571428572,148.60888888888888,0.09384572230535562
META,2023-02-10,176.353,178.89,173.35,174.15,-0.021189298561150927,5.539999999999992,3.14142657057152,184.06857142857143,149.52107142857145,0.09576160588685922
META,2023-02-13,178.215,181.0,175.82,179.43,0.030318690783807112,5.180000000000007,2.906601576747191,182.7342857142857,150.55241379310345,0.028302548443804677
META,2023-02-14,177.16,181.506,175.88,179.48,0.0002786602017499362,5.626000000000005,3.175660419959361,181.72714285714284,151.51666666666668,0.028318116091739377
META,2023-02-15,176.415,178.19,175.33,177.16,-0.01292623133496762,2.859999999999985,1.6211773375279797,180.4557142857143,153.264,0.028430319669638
META,2023-02-16,172.75,175.85,171.79,172.44,-0.02664258297584099,4.060000000000002,2.3502170767004356,177.71571428571428,154.76633333333336,0.02401558450461166
META,2023-02-17,170.22,173.18,169.7,172.88,0.002551612154952476,3.480000000000018,2.044413112442732,176.20857142857145,156.2976666666667,0.021131661594071507
META,2023-02-21,174.31,178.17,171.88,172.08,-0.004627487274409869,6.289999999999992,3.608513567781534,175.3742857142857,157.6996666666667,0.018817849819044767
META,2023-02-22,171.07,172.755,169.69,171.12,-0.00557880055788007,3.0649999999999977,1.7916642310165418,174.94142857142856,159.08800000000002,0.017396230146130873
META,2023-02-23,172.0,173.69,169.38,172.04,0.005376344086021501,4.310000000000002,2.5058139534883734,173.8857142857143,160.38966666666667,0.010939960093295679
META,2023-02-24,168.64,170.72,167.66,170.39,-0.009590792838874762,3.0600000000000023,1.8145161290322596,172.58714285714288,161.63966666666664,0.010636965620053649
META,2023-02-27,171.875,173.12,169.06,169.54,-0.00498855566641232,4.060000000000002,2.3621818181818197,171.49857142857144,162.73399999999998,0.01036278581273495
META,2023-02-28,171.9,177.55,171.87,174.94,0.031850890645275465,5.680000000000007,3.304246655031999,171.85571428571424,163.99933333333334,0.014066431187955244
META,2023-03-01,174.59,177.85,173.05,173.42,-0.00868869326626276,4.799999999999983,2.7492983561486812,171.93285714285713,165.268,0.014641671739391952
META,2023-03-02,172.38,175.01,171.43,174.53,0.006400645830930696,3.579999999999984,2.076807054182611,172.28285714285713,166.65166666666667,0.014586675884678796
META,2023-03-03,178.92,186.62,177.05,185.25,0.06142210508222079,9.569999999999993,5.348759221998655,174.30142857142854,168.28833333333333,0.026121257238571872
META,2023-03-06,188.0,189.66,184.64,184.9,-0.0018893387314439236,5.02000000000001,2.6702127659574524,176.13857142857142,169.80599999999998,0.02655439529850869
META,2023-03-07,189.0,190.36,184.01,184.51,-0.0021092482422931935,6.350000000000023,3.3597883597883715,178.15571428571428,171.18066666666667,0.025742313037625825
META,2023-03-08,182.87,185.26,181.34,184.97,0.002493089805430726,3.9199999999999875,2.1435992781757465,180.35999999999999,172.575,0.025080051456450748
META,2023-03-09,186.35,188.93,180.3,181.69,-0.017732605287343883,8.629999999999995,4.631070566138983,181.3242857142857,173.91466666666665,0.02578899014110052
META,2023-03-10,181.01,184.77,178.8,179.51,-0.011998458913534127,5.969999999999999,3.298160322634108,182.19428571428574,174.98833333333332,0.026124905959982462
META,2023-03-13,177.96,183.78,174.82,180.9,0.007743301208846365,8.960000000000008,5.034839289728033,183.1042857142857,175.96033333333335,0.026139886960852055
